area_code,area_name,population
12219,市原市,269653
12220,流山市,199960
12221,八千代市,199597
12222,我孫子市,130590
12223,鴨川市,32149
12224,鎌ケ谷市,109989
12225,君津市,82249
12226,富津市,42508
12227,浦安市,171424
12228,四街道市,93632
12229,袖ケ浦市,63906
12230,八街市,67480
12231,印西市,102651
12232,白井市,62470
12233,富里市,49762
12234,南房総市,35844
12235,匝瑳市,35099
12236,香取市,72427
12237,山武市,48462
12238,いすみ市,35571
12239,大網白里市,48155
12322,酒々井町,20760
12329,栄町,20140
12342,神崎町,5820
12347,多古町,13748
12349,東庄町,13235
12403,九十九里町,14644
12409,芝山町,7042
12410,横芝光町,22091
12421,一宮町,11900
12422,睦沢町,6768
12423,長生村,13808
12424,白子町,10311
12426,長柄町,6725
12427,長南町,7205
12441,大多喜町,8899
12443,御宿町,6882
12463,鋸南町,6998
13000,東京都,14064696
13100,特別区部,9744534
13101,千代田区,66758
13102,中央区,169318
13103,港区,260851
13104,新宿区,349743
13105,文京区,240297
13106,台東区,211779
13107,墨田区,272190
13108,江東区,524547
13109,品川区,422795
13110,目黒区,288501
13111,大田区,748291
13112,世田谷区,948147
13113,渋谷区,244067
13114,中野区,345089
13115,杉並区,592241
13116,豊島区,302098
13117,北区,355501
13118,荒川区,217713
13119,板橋区,584403
13120,練馬区,753045
13121,足立区,695530
13122,葛飾区,453441
13123,江戸川区,698189
13201,八王子市,579605
13202,立川市,187089
13203,武蔵野市,150102
13204,三鷹市,195558
13205,青梅市,133587
13206,府中市,262932
13207,昭島市,114053
13208,調布市,242721
13209,町田市,431525
13210,小金井市,126253
13211,小平市,198977
13212,日野市,190261
13213,東村山市,151941
13214,国分寺市,129353
13215,国立市,77167
13218,福生市,56443
13219,狛江市,84807
13220,東大和市,83952
13221,清瀬市,76258
13222,東久留米市,115227
13223,武蔵村山市,70863
13224,多摩市,147169
13225,稲城市,93171
13227,羽村市,54341
13228,あきる野市,79366
13229,西東京市,207389
13303,瑞穂町,31774
13305,日の出町,17048
13307,檜原村,2003
13308,奥多摩町,4752
13361,大島町,7104
13362,利島村,327
13363,新島村,2441
13364,神津島村,1857
13381,三宅村,2274
13382,御蔵島村,323
13401,八丈町,7048
13402,青ヶ島村,169
13421,小笠原村,2932
14000,神奈川県,9240411
14100,横浜市,3778318
14101,横浜市鶴見区,297555
14102,横浜市神奈川区,247322
14103,横浜市西区,104917
14104,横浜市中区,151388
14105,横浜市南区,198054
14106,横浜市保土ケ谷区,207816
14107,横浜市磯子区,166795
14108,横浜市金沢区,199033
14109,横浜市港北区,358678
14110,横浜市戸塚区,283908
14111,横浜市港南区,215196
14112,横浜市旭区,245272
14113,横浜市緑区,183147
14114,横浜市瀬谷区,122671
14115,横浜市栄区,120263
14116,横浜市泉区,152452
14117,横浜市青葉区,310699
14118,横浜市都筑区,213152
14130,川崎市,1539081
14131,川崎市川崎区,233228
14132,川崎市幸区,171188
14133,川崎市中原区,263785
14134,川崎市高津区,234342
14135,川崎市多摩区,221853
14136,川崎市宮前区,233796
14137,川崎市麻生区,180889
14150,相模原市,725302
14151,相模原市緑区,170139
14152,相模原市中央区,273651
14153,相模原市南区,281512
14201,横須賀市,388504
14203,平塚市,258524
14204,鎌倉市,172821
14205,藤沢市,437155
14206,小田原市,188986
14207,茅ヶ崎市,242603
14208,逗子市,56981
14210,三浦市,42098
14211,秦野市,162579
14212,厚木市,223747
14213,大和市,239269
