area_code,area_name,population,conv_store
11343,小川町,28536,10
11346,川島町,19398,11
11347,吉見町,18196,8
11348,鳩山町,13581,4
11349,ときがわ町,10547,3
11361,横瀬町,7981,2
11362,皆野町,9305,4
11363,長瀞町,6809,2
11365,小鹿野町,10890,6
11369,東秩父村,2710,0
11381,美里町,11040,11
11381,美里町,11040,5
11381,美里町,11040,3
11383,神川町,13380,6
11385,上里町,30347,11
11408,寄居町,32386,14
11442,宮代町,34163,13
11464,杉戸町,43860,16
11465,松伏町,28272,8
12000,千葉県,6287034,
12100,千葉市,975210,
12101,千葉市中央区,211734,139
12102,千葉市花見川区,177408,64
12103,千葉市稲毛区,160684,57
12104,千葉市若葉区,146976,48
12105,千葉市緑区,129467,34
12106,千葉市美浜区,148941,58
12202,銚子市,58478,24
12203,市川市,496943,176
12204,船橋市,642972,243
12205,館山市,45177,21
12206,木更津市,136224,63
12207,松戸市,498293,170
12208,野田市,152674,69
12210,茂原市,86821,42
12211,成田市,132998,79
12212,佐倉市,168858,54
12213,東金市,58248,31
12215,旭市,63788,35
12216,習志野市,176306,61
12217,柏市,426552,138
12218,勝浦市,16938,9
12219,市原市,269653,136
12220,流山市,199960,52
12221,八千代市,199597,67
12222,我孫子市,130590,33
12223,鴨川市,32149,18
12224,鎌ケ谷市,109989,38
12225,君津市,82249,41
12226,富津市,42508,21
12227,浦安市,171424,57
12228,四街道市,93632,33
12229,袖ケ浦市,63906,31
12230,八街市,67480,38
12231,印西市,102651,38
12232,白井市,62470,19
12233,富里市,49762,29
12234,南房総市,35844,15
12235,匝瑳市,35099,17
12236,香取市,72427,31
12237,山武市,48462,17
12238,いすみ市,35571,12
12239,大網白里市,48155,18
12322,酒々井町,20760,8
12329,栄町,20140,7
12342,神崎町,5820,4
12347,多古町,13748,9
12349,東庄町,13235,4
12403,九十九里町,14644,8
12409,芝山町,7042,5
12410,横芝光町,22091,12
12421,一宮町,11900,5
12422,睦沢町,6768,3
12423,長生村,13808,7
12424,白子町,10311,6
12426,長柄町,6725,3
12427,長南町,7205,3
12441,大多喜町,8899,4
12443,御宿町,6882,2
12463,鋸南町,6998,3
13000,東京都,14064696,
13100,特別区部,9744534,
13101,千代田区,66758,235
13102,中央区,169318,190
13103,港区,260851,324
13104,新宿区,349743,307
13105,文京区,240297,79
13106,台東区,211779,159
13107,墨田区,272190,129
13108,江東区,524547,236
13109,品川区,422795,207
13110,目黒区,288501,98
13111,大田区,748291,276
13112,世田谷区,948147,314
13113,渋谷区,244067,226
13114,中野区,345089,124
13115,杉並区,592241,171
13116,豊島区,302098,191
13117,北区,355501,102
13118,荒川区,217713,83
13119,板橋区,584403,201
13120,練馬区,753045,216
13121,足立区,695530,227
13122,葛飾区,453441,164
13123,江戸川区,698189,224
13201,八王子市,579605,196
13202,立川市,187089,90
13203,武蔵野市,150102,67
13204,三鷹市,195558,57
13205,青梅市,133587,50
13206,府中市,262932,102
13206,府中市,262932,13
13207,昭島市,114053,44
13208,調布市,242721,84
13209,町田市,431525,146
13210,小金井市,126253,37
13211,小平市,198977,57
13212,日野市,190261,64
13213,東村山市,151941,43
13214,国分寺市,129353,44
13215,国立市,77167,35
13218,福生市,56443,25
13219,狛江市,84807,28
13220,東大和市,83952,30
13221,清瀬市,76258,26
13222,東久留米市,115227,33
13223,武蔵村山市,70863,25
13224,多摩市,147169,51
13225,稲城市,93171,29
13227,羽村市,54341,26
13228,あきる野市,79366,25
13229,西東京市,207389,69
13303,瑞穂町,31774,18
13305,日の出町,17048,6
13307,檜原村,2003,0
13308,奥多摩町,4752,4
13361,大島町,7104,0
13362,利島村,327,0
13363,新島村,2441,0
13364,神津島村,1857,0
13381,三宅村,2274,
13382,御蔵島村,323,0
13401,八丈町,7048,
13402,青ヶ島村,169,0
13421,小笠原村,2932,0
14000,神奈川県,9240411,
